No_of_wheels,Battery_Capacity,Vehicle_mass_kg,Driver_mass_kg,C_rr,Grade,area,air_density,radius_of_wheel,Gear_ratio,transmission_efficiency,motor_efficiency,Gross_vehivle_mass,g,motor_controller_efficiency,coefficient_of_drag,Distance_travel,Battery_Capacity_available
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2725,12854.53032
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2741.667,12851.92778
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2758.333,12849.32524
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2775,12846.7227
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2791.667,12844.12017
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2808.333,12841.51763
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2825,12838.91509
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2841.667,12836.31255
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2858.333,12833.71002
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2875,12831.10748
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2891.667,12828.50494
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2908.333,12825.90241
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2925,12823.29987
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2941.667,12820.69733
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2958.333,12818.09479
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2975,12815.49226
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,2991.667,12812.88972
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3008.333,12810.28718
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3025,12807.68465
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3041.667,12805.08211
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3058.333,12802.47957
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3075,12799.87703
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3091.667,12797.2745
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3108.333,12794.67196
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3125,12792.06942
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3141.667,12789.46688
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3158.333,12786.86435
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3175,12784.26181
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3191.667,12781.65927
2,3.7,111,75,0.005,0.034906667,0.875,1.225,0.1524,7.8,0.85,0.9,186,9.81,0.96,0.22,3208.333,12779.05674
